"","location","error","Best_error","Worst_error","distance","number"
"268","attic",1873.14906772569,1789.66010393664,4255.02175239061,24,11
"269","attic",3341.96406571016,1789.66010393664,4255.02175239061,24,11
"270","attic",1979.58645388429,1789.66010393664,4255.02175239061,24,11
"271","attic",2299.12691341531,1789.66010393664,4255.02175239061,24,12
"272","attic",1908.9249570936,1789.66010393664,4255.02175239061,24,12
"273","attic",2172.02545188732,1789.66010393664,4255.02175239061,24,12
"274","attic",9504.17719403637,1789.66010393664,4255.02175239061,24,12
"275","attic",3866.90788196537,1789.66010393664,4255.02175239061,24,12
"276","attic",2553.59159003318,1789.66010393664,4255.02175239061,24,12
"277","attic",4160.77837580664,1789.66010393664,4255.02175239061,24,12
"278","attic",5448.57495125965,1789.66010393664,4255.02175239061,24,12
"279","attic",2540.89977059042,1789.66010393664,4255.02175239061,24,12
"280","attic",1792.28582212557,1789.66010393664,4255.02175239061,24,12
"281","attic",16273.963213329,1789.66010393664,4255.02175239061,48,2
"282","attic",4750.02920821969,1789.66010393664,4255.02175239061,48,2
"283","attic",51855.008211593,1789.66010393664,4255.02175239061,48,2
"284","attic",37498.8773685342,1789.66010393664,4255.02175239061,48,2
"285","attic",12284.2414573853,1789.66010393664,4255.02175239061,48,2
"286","attic",25146.0326194078,1789.66010393664,4255.02175239061,48,2
"287","attic",2249.56614133843,1789.66010393664,4255.02175239061,48,2
"288","attic",8061.75541419059,1789.66010393664,4255.02175239061,48,2
"289","attic",253150.688730603,1789.66010393664,4255.02175239061,48,2
"290","attic",5448.74074759967,1789.66010393664,4255.02175239061,48,2
"291","attic",2229.76819636424,1789.66010393664,4255.02175239061,48,3
"292","attic",7349.55076472811,1789.66010393664,4255.02175239061,48,3
"293","attic",2200.97782409302,1789.66010393664,4255.02175239061,48,3
"294","attic",2977.1841664403,1789.66010393664,4255.02175239061,48,3
"295","attic",1848.69751004109,1789.66010393664,4255.02175239061,48,3
"296","attic",2719.09320282679,1789.66010393664,4255.02175239061,48,3
"297","attic",25523.1722370479,1789.66010393664,4255.02175239061,48,3
"298","attic",3228.32344151918,1789.66010393664,4255.02175239061,48,3
"299","attic",2254.35680805817,1789.66010393664,4255.02175239061,48,3
"300","attic",26307.3102548199,1789.66010393664,4255.02175239061,48,3
"301","attic",4944.69442024606,1789.66010393664,4255.02175239061,48,4
"302","attic",4041.4535881538,1789.66010393664,4255.02175239061,48,4
"303","attic",8817.40308965313,1789.66010393664,4255.02175239061,48,4
"304","attic",2264.22450646783,1789.66010393664,4255.02175239061,48,4
"305","attic",6866.41355600594,1789.66010393664,4255.02175239061,48,4
"306","attic",2754.56309082239,1789.66010393664,4255.02175239061,48,4
"307","attic",1831.89305420556,1789.66010393664,4255.02175239061,48,4
"308","attic",1871.44780665666,1789.66010393664,4255.02175239061,48,4
"309","attic",1923.92727908247,1789.66010393664,4255.02175239061,48,4
"310","attic",3532.64739741781,1789.66010393664,4255.02175239061,48,4
"311","attic",2525.40208671321,1789.66010393664,4255.02175239061,48,5
"312","attic",6086.73168453332,1789.66010393664,4255.02175239061,48,5
"313","attic",2013.13549338461,1789.66010393664,4255.02175239061,48,5
"314","attic",2326.87441577629,1789.66010393664,4255.02175239061,48,5
"315","attic",20659.6323632648,1789.66010393664,4255.02175239061,48,5
"316","attic",2513.07534632583,1789.66010393664,4255.02175239061,48,5
"317","attic",4821.38909126558,1789.66010393664,4255.02175239061,48,5
"318","attic",2450.83425692862,1789.66010393664,4255.02175239061,48,5
"319","attic",3493.86409065607,1789.66010393664,4255.02175239061,48,5
"320","attic",4649.18599353523,1789.66010393664,4255.02175239061,48,5
"321","attic",2481.99050212487,1789.66010393664,4255.02175239061,48,6
"322","attic",3929.64107240955,1789.66010393664,4255.02175239061,48,6
"323","attic",2886.9594472821,1789.66010393664,4255.02175239061,48,6
"324","attic",1862.40618158222,1789.66010393664,4255.02175239061,48,6
"325","attic",2257.69293624507,1789.66010393664,4255.02175239061,48,6
"326","attic",1923.84201257207,1789.66010393664,4255.02175239061,48,6
"327","attic",2376.26488178732,1789.66010393664,4255.02175239061,48,6
"328","attic",2675.66245111749,1789.66010393664,4255.02175239061,48,6
"329","attic",2715.96929494582,1789.66010393664,4255.02175239061,48,6
"330","attic",2137.73255022178,1789.66010393664,4255.02175239061,48,6
"331","attic",4926.24695985252,1789.66010393664,4255.02175239061,48,7
"332","attic",2296.84197401758,1789.66010393664,4255.02175239061,48,7
"333","attic",2253.80580048704,1789.66010393664,4255.02175239061,48,7
"334","attic",1942.81008056695,1789.66010393664,4255.02175239061,48,7
"335","attic",1868.68854965422,1789.66010393664,4255.02175239061,48,7
"336","attic",2508.90884804465,1789.66010393664,4255.02175239061,48,7
"337","attic",4685.06392718249,1789.66010393664,4255.02175239061,48,7
"338","attic",3363.531845741,1789.66010393664,4255.02175239061,48,7
"339","attic",2878.34997423726,1789.66010393664,4255.02175239061,48,7
"340","attic",2817.95861617115,1789.66010393664,4255.02175239061,48,7
"341","attic",5450.2857297498,1789.66010393664,4255.02175239061,48,8
"342","attic",2856.88974225742,1789.66010393664,4255.02175239061,48,8
"343","attic",1853.59870873882,1789.66010393664,4255.02175239061,48,8
"344","attic",2424.62835298266,1789.66010393664,4255.02175239061,48,8
"345","attic",3177.74500579986,1789.66010393664,4255.02175239061,48,8
"346","attic",2016.64185057502,1789.66010393664,4255.02175239061,48,8
"347","attic",3982.22277950783,1789.66010393664,4255.02175239061,48,8
